sol,latitude_crism,longitude_crism,elevation
100,-4.589995765,137.448341528,-4517.871
100,-4.589995937,137.448341273,-4517.873
100,-4.589996544,137.448341668,-4517.87
100,-4.589996464,137.448342008,-4517.899
100,-4.589996595,137.448341961,-4517.865
100,-4.589997137,137.448341536,-4517.872
100,-4.590008675,137.448328624,-4517.891
100,-4.590019161,137.448316649,-4517.899
100,-4.590019507,137.448316353,-4517.912
100,-4.590020068,137.448315622,-4517.893
100,-4.590021384,137.448310344,-4517.899
100,-4.590021384,137.448310344,-4517.899
100,-4.590021516,137.44831023,-4517.9
